Datetime,Sum_Traffic_Count,Day_Of_Week,Date,Month,Year,Hour,Minute,Second,Day_Or_Night,Weekdays_Or_Weekend
2019-01-01 00:00:00,2391,3,1,1,2019,0,0,0,1,0
2019-01-01 00:30:00,2386,3,1,1,2019,0,30,0,1,0
2019-01-01 01:00:00,2428,3,1,1,2019,1,0,0,1,0
2019-01-01 01:30:00,2617,3,1,1,2019,1,30,0,1,0
2019-01-01 02:00:00,2068,3,1,1,2019,2,0,0,1,0
2019-01-01 02:30:00,2218,3,1,1,2019,2,30,0,1,0
2019-01-01 03:00:00,2461,3,1,1,2019,3,0,0,1,0
2019-01-01 03:30:00,2807,3,1,1,2019,3,30,0,1,0
2019-01-01 04:00:00,3173,3,1,1,2019,4,0,0,1,0
2019-01-01 04:30:00,3472,3,1,1,2019,4,30,0,1,0
2019-01-01 05:00:00,3896,3,1,1,2019,5,0,0,1,0
2019-01-01 05:30:00,4298,3,1,1,2019,5,30,0,1,0
2019-01-01 06:00:00,4554,3,1,1,2019,6,0,0,0,0
2019-01-01 06:30:00,4740,3,1,1,2019,6,30,0,0,0
2019-01-01 07:00:00,4487,3,1,1,2019,7,0,0,0,0
2019-01-01 07:30:00,5186,3,1,1,2019,7,30,0,0,0
2019-01-01 08:00:00,5759,3,1,1,2019,8,0,0,0,0
2019-01-01 08:30:00,6113,3,1,1,2019,8,30,0,0,0
2019-01-01 09:00:00,6507,3,1,1,2019,9,0,0,0,0
2019-01-01 09:30:00,6711,3,1,1,2019,9,30,0,0,0
2019-01-01 10:00:00,7304,3,1,1,2019,10,0,0,0,0
2019-01-01 10:30:00,8064,3,1,1,2019,10,30,0,0,0
2019-01-01 11:00:00,8734,3,1,1,2019,11,0,0,0,0
2019-01-01 11:30:00,10138,3,1,1,2019,11,30,0,0,0
2019-01-01 12:00:00,10137,3,1,1,2019,12,0,0,0,0
2019-01-01 12:30:00,10108,3,1,1,2019,12,30,0,0,0
2019-01-01 13:00:00,9799,3,1,1,2019,13,0,0,0,0
2019-01-01 13:30:00,9326,3,1,1,2019,13,30,0,0,0
2019-01-01 14:00:00,9467,3,1,1,2019,14,0,0,0,0
2019-01-01 14:30:00,10282,3,1,1,2019,14,30,0,0,0
2019-01-01 15:00:00,10243,3,1,1,2019,15,0,0,0,0
2019-01-01 15:30:00,10449,3,1,1,2019,15,30,0,0,0
2019-01-01 16:00:00,10545,3,1,1,2019,16,0,0,0,0
2019-01-01 16:30:00,10280,3,1,1,2019,16,30,0,0,0
2019-01-01 17:00:00,10777,3,1,1,2019,17,0,0,0,0
2019-01-01 17:30:00,11407,3,1,1,2019,17,30,0,0,0
2019-01-01 18:00:00,12101,3,1,1,2019,18,0,0,1,0
2019-01-01 18:30:00,12422,3,1,1,2019,18,30,0,1,0
2019-01-01 19:00:00,12830,3,1,1,2019,19,0,0,1,0
2019-01-01 19:30:00,12876,3,1,1,2019,19,30,0,1,0
2019-01-01 20:00:00,11478,3,1,1,2019,20,0,0,1,0
2019-01-01 20:30:00,10632,3,1,1,2019,20,30,0,1,0
2019-01-01 21:00:00,10789,3,1,1,2019,21,0,0,1,0
2019-01-01 21:30:00,11693,3,1,1,2019,21,30,0,1,0
2019-01-01 22:00:00,11536,3,1,1,2019,22,0,0,1,0
2019-01-01 22:30:00,11315,3,1,1,2019,22,30,0,1,0
2019-01-01 23:00:00,12437,3,1,1,2019,23,0,0,1,0
2019-01-01 23:30:00,14087,3,1,1,2019,23,30,0,1,0
2019-01-02 00:00:00,14452,4,2,1,2019,0,0,0,1,0
2019-01-02 00:30:00,14486,4,2,1,2019,0,30,0,1,0
2019-01-02 01:00:00,16188,4,2,1,2019,1,0,0,1,0
2019-01-02 01:30:00,18914,4,2,1,2019,1,30,0,1,0
2019-01-02 02:00:00,23812,4,2,1,2019,2,0,0,1,0
2019-01-02 02:30:00,31333,4,2,1,2019,2,30,0,1,0
2019-01-02 03:00:00,44908,4,2,1,2019,3,0,0,1,0
2019-01-02 03:30:00,63874,4,2,1,2019,3,30,0,1,0
2019-01-02 04:00:00,88846,4,2,1,2019,4,0,0,1,0
2019-01-02 04:30:00,109408,4,2,1,2019,4,30,0,1,0
2019-01-02 05:00:00,120970,4,2,1,2019,5,0,0,1,0
2019-01-02 05:30:00,132348,4,2,1,2019,5,30,0,1,0
2019-01-02 06:00:00,137114,4,2,1,2019,6,0,0,0,0
2019-01-02 06:30:00,133284,4,2,1,2019,6,30,0,0,0
2019-01-02 07:00:00,126478,4,2,1,2019,7,0,0,0,0
2019-01-02 07:30:00,129567,4,2,1,2019,7,30,0,0,0
2019-01-02 08:00:00,138792,4,2,1,2019,8,0,0,0,0
2019-01-02 08:30:00,145065,4,2,1,2019,8,30,0,0,0
2019-01-02 09:00:00,152946,4,2,1,2019,9,0,0,0,0
2019-01-02 09:30:00,158123,4,2,1,2019,9,30,0,0,0
2019-01-02 10:00:00,163962,4,2,1,2019,10,0,0,0,0
2019-01-02 10:30:00,164798,4,2,1,2019,10,30,0,0,0
2019-01-02 11:00:00,161896,4,2,1,2019,11,0,0,0,0
2019-01-02 11:30:00,159951,4,2,1,2019,11,30,0,0,0
2019-01-02 12:00:00,159246,4,2,1,2019,12,0,0,0,0
2019-01-02 12:30:00,157835,4,2,1,2019,12,30,0,0,0
2019-01-02 13:00:00,154298,4,2,1,2019,13,0,0,0,0
2019-01-02 13:30:00,148005,4,2,1,2019,13,30,0,0,0
2019-01-02 14:00:00,141749,4,2,1,2019,14,0,0,0,0
2019-01-02 14:30:00,136056,4,2,1,2019,14,30,0,0,0
2019-01-02 15:00:00,127033,4,2,1,2019,15,0,0,0,0
2019-01-02 15:30:00,119564,4,2,1,2019,15,30,0,0,0
2019-01-02 16:00:00,110854,4,2,1,2019,16,0,0,0,0
2019-01-02 16:30:00,98947,4,2,1,2019,16,30,0,0,0
